"k"	"type"	"f"
"588"	"anoche"	1
"589"	"anochecer"	3
"590"	"anocheció"	2
"591"	"años"	43
"592"	"_anque_"	3
"593"	"ansia"	2
"594"	"ansiedad"	10
"595"	"ansiosa"	1
"596"	"ansioso"	1
"597"	"ansiosos"	3
"598"	"antaño"	1
"599"	"ante"	26
"600"	"antebrazo"	1
"601"	"anteojo"	1
"602"	"anterior"	6
"603"	"anteriores"	1
"604"	"anteriormente"	1
"605"	"antes"	49
"606"	"antigua"	3
"607"	"antiguas"	3
"608"	"antigüedad"	1
"609"	"antiguo"	6
"610"	"antiguos"	4
"611"	"antipáticos"	1
"612"	"antipatriótica"	1
"613"	"antoja"	2
"614"	"antojo"	3
"615"	"antojos"	2
"616"	"antonio"	3
"617"	"antorcha"	1
"618"	"anulado"	1
"619"	"anuncia"	2
"620"	"anunciaba"	1
"621"	"anunciaban"	2
"622"	"anunciando"	2
"623"	"anunciándonos"	1
"624"	"anunciar"	1
"625"	"anuncio"	1
"626"	"apagadas"	1
"627"	"apagado"	1
"628"	"apagando"	1
"629"	"apagara"	1
"630"	"_apagaron"	1
"631"	"apagó"	1
"632"	"aparecen"	1
"633"	"aparecía"	1
"634"	"aparecieron"	1
"635"	"apareció"	1
"636"	"aparejo"	6
"637"	"aparentaba"	1
"638"	"aparentando"	1
"639"	"aparentarlos"	1
"640"	"aparente"	1
"641"	"apariencia"	1
"642"	"apariencias"	1
"643"	"apartado"	1
"644"	"apartar"	2
"645"	"apartase"	1
"646"	"aparte"	1
"647"	"apartó"	2
"648"	"apasionadamente"	1
"649"	"apegado"	1
"650"	"apellido"	3
"651"	"apellidos"	1
"652"	"apenado"	1
"653"	"apenas"	19
"654"	"apéndice"	1
"655"	"apercibía"	1
"656"	"apetecido"	1
"657"	"apiadaron"	1
"658"	"aplacada"	1
"659"	"aplacadas"	1
"660"	"aplacarle"	1
"661"	"aplacarse"	1
"662"	"aplanado"	1
"663"	"aplanándose"	1
"664"	"aplausos"	2
"665"	"aplicaba"	1
"666"	"aplicación"	1
"667"	"aplicando"	1
"668"	"aplicándole"	1
"669"	"aplicar"	1
"670"	"aplicara"	1
"671"	"aplicó"	2
"672"	"aplomo"	1
"673"	"apocados"	1
"674"	"apocamiento"	1
"675"	"apodaca"	2
"676"	"apoderó"	1
"677"	"apodo"	1
"678"	"apolillados"	2
"679"	"apostrofó"	1
"680"	"apoyaban"	1
"681"	"apoyado"	1
"682"	"apoyo"	1
"683"	"aprecia"	1
"684"	"apreciación"	1
"685"	"apreciadas"	1
"686"	"apreciar"	1
"687"	"apreciarlo"	1
"688"	"apreciarse"	2
"689"	"apremiante"	1
"690"	"aprender"	3
"691"	"aprenderás"	1
"692"	"aprendí"	1
"693"	"aprendido"	1
"694"	"aprendizaje"	1
"695"	"apresaban"	1
"696"	"apresado"	10
"697"	"apresados"	3
"698"	"apresando"	1
"699"	"apresar"	1
"700"	"apresarnos"	1
"701"	"apresurara"	1
"702"	"apretado"	1
"703"	"apretamos"	1
"704"	"apretó"	1
"705"	"apriétate"	1
"706"	"aprobación"	3
"707"	"apropia"	1
"708"	"aprovechados"	1
"709"	"aproximaba"	1
"710"	"aproximaban"	1
"711"	"aproximación"	2
"712"	"aproximarme"	1
"713"	"apto"	1
"714"	"apuesto"	3
"715"	"apuntado"	1
"716"	"apuntados"	1
"717"	"apuntar"	2
"718"	"apuntaron"	1
"719"	"apunte"	1
"720"	"apuntó"	1
"721"	"apurada"	1
"722"	"apuro"	2
"723"	"apuros"	1
"724"	"aquel"	104
"725"	"aquél"	5
"726"	"_aquél_"	1
"727"	"aquella"	79
"728"	"aquélla"	5
"729"	"aquellas"	15
"730"	"aquéllas"	2
"731"	"aquello"	10
"732"	"aquellos"	32
"733"	"aquí"	36
"734"	"aragón"	1
"735"	"aranda"	2
"736"	"arapiles"	1
"737"	"arbitrio"	1
"738"	"árbol"	2
"739"	"arboladura"	9
"740"	"árboles"	1
"741"	"arca"	1
"742"	"arcadas"	1
"743"	"arcediano"	1
"744"	"ardía"	1
"745"	"ardiente"	5
"746"	"ardientes"	2
"747"	"ardor"	7
"748"	"arena"	8
"749"	"arenga"	2
"750"	"argel"	1
"751"	"argelinos"	1
"752"	"argonauta"	1
"753"	"_argonauta_"	4
"754"	"argonaute"	1
"755"	"argumento"	2
"756"	"argumosa"	1
"757"	"arguyéndole"	1
"758"	"arias"	1
"759"	"arisco"	1
"760"	"arma"	1
"761"	"armada"	3
"762"	"armado"	1
"763"	"armamento"	4
"764"	"arman"	1
"765"	"armando"	1
"766"	"armara"	1
"767"	"armaría"	1
"768"	"armas"	3
"769"	"armó"	3
"770"	"armonía"	1
"771"	"armónico"	1
"772"	"arnés"	1
"773"	"arquitecto"	1
"774"	"arraigada"	1
"775"	"arrancaba"	1
"776"	"arrancada"	1
"777"	"arrancados"	1
"778"	"arrancarle"	1
"779"	"arrancarles"	1
"780"	"arrancó"	2
"781"	"arranque"	2
"782"	"arrastra"	1
"783"	"arrastraba"	2
"784"	"arrastraban"	2
"785"	"arrastrados"	1
"786"	"arrastre"	1
"787"	"arrebatado"	3
"788"	"arrebato"	1
"789"	"arrecia"	1
"790"	"arreciaba"	1
"791"	"arreciado"	1
"792"	"arreció"	1
"793"	"arredraron"	1
"794"	"arreglaban"	1
"795"	"arreglado"	2
"796"	"arreglando"	1
"797"	"arreglo"	1
"798"	"arrellanado"	1
"799"	"arreos"	1
"800"	"arrepiento"	1
"801"	"arriaban"	1
"802"	"arriada"	1
"803"	"arriado"	1
"804"	"arriar"	2
"805"	"arriba"	5
"806"	"arribar"	2
"807"	"arribó"	1
"808"	"arriesgaba"	1
"809"	"arriesgué"	1
"810"	"arrobamiento"	2
"811"	"arrodillándome"	1
"812"	"arrodillé"	1
"813"	"arrogancia"	1
"814"	"arroja"	1
"815"	"arrojaba"	1
"816"	"arrojado"	1
"817"	"arrojados"	4
"818"	"arrojan"	2
"819"	"arrojando"	1
"820"	"arrojándose"	1
"821"	"arrojaría"	1
"822"	"arrojarme"	1
"823"	"arrojaron"	1
"824"	"arrojarse"	1
"825"	"arrojo"	3
"826"	"arrostrar"	3
"827"	"arsenal"	1
"828"	"arsenales"	1
"829"	"arte"	4
"830"	"articuladas"	1
"831"	"artífices"	1
"832"	"artificios"	1
"833"	"artificioso"	1
"834"	"artillado"	1
"835"	"artillería"	27
"836"	"artillero"	1
"837"	"artilleros"	3
"838"	"artista"	1
"839"	"ascendían"	1
"840"	"ascendido"	1
"841"	"ascendientes"	2
"842"	"asediaban"	1
"843"	"asegura"	1
"844"	"aseguraba"	1
"845"	"asegurado"	1
"846"	"asegurando"	1
"847"	"asegurar"	3
"848"	"asegure"	1
"849"	"aseguro"	3
"850"	"aseguró"	2
"851"	"asentimiento"	1
"852"	"así"	61
"853"	"_así"	1
"854"	"asido"	1
"855"	"asiduo"	1
"856"	"asiéndola"	1
"857"	"asignado"	1
"858"	"asilo"	1
"859"	"asimilando"	1
"860"	"asimilándole"	1
"861"	"asimismo"	1
"862"	"asintieron"	1
"863"	"asió"	1
"864"	"asís"	1
"865"	"_asís_"	1
"866"	"asís_"	1
"867"	"asistencia"	1
"868"	"asistía"	1
"869"	"asistíamos"	1
"870"	"asistían"	1
"871"	"asistido"	4
"872"	"asistiese"	1
"873"	"asistió"	1
"874"	"asistir"	3
"875"	"asocia"	2
"876"	"asociaba"	1
"877"	"asociación"	1
"878"	"asociada"	1
"879"	"asociadas"	1
"880"	"asociados"	1
"881"	"asociando"	2
"882"	"asociar"	1
"883"	"asocio"	1
"884"	"asolaba"	1
"885"	"asolando"	1
"886"	"asomados"	1
"887"	"asomando"	1
"888"	"asomaron"	1
"889"	"asombraba"	1
"890"	"asombrábamos"	1
"891"	"asombrado"	2
"892"	"asombrar"	1
"893"	"asombraron"	1
"894"	"asombre"	1
"895"	"asombro"	7
"896"	"asombró"	1
"897"	"asombrosa"	1
"898"	"aspavientos"	1
"899"	"aspecto"	7
"900"	"aspirando"	1
"901"	"aspirar"	2
"902"	"astas"	1
"903"	"astillas"	2
"904"	"astillazo"	3
"905"	"astucia"	1
"906"	"astucias"	1
"907"	"asturias"	1
"908"	"asturias_"	6
"909"	"asunto"	7
"910"	"asuntos"	2
"911"	"asusta"	2
"912"	"asustes"	1
"913"	"asustó"	1
"914"	"ataca"	3
"915"	"atacaban"	1
"916"	"atacado"	1
"917"	"atacados"	2
"918"	"atacando"	1
"919"	"atacándonos"	1
"920"	"atacar"	4
"921"	"atacarnos"	3
"922"	"atacó"	1
"923"	"atada"	1
"924"	"atajándole"	1
"925"	"ataque"	6
"926"	"atareados"	1
"927"	"atarme"	1
"928"	"ataúd"	1
"929"	"ataúdes"	1
"930"	"atavío"	1
"931"	"atemperar"	1
"932"	"atención"	12
"933"	"atenciones"	1
"934"	"atender"	1
"935"	"atendí"	1
"936"	"atendía"	1
"937"	"ateniense"	1
"938"	"atentamente"	2
"939"	"atento"	1
"940"	"atenuaron"	1
"941"	"aterido"	1
"942"	"ateridos"	1
"943"	"aterradora"	1
"944"	"atinadísima"	1
"945"	"atmósfera"	2
"946"	"atónitos"	1
"947"	"atontado"	1
