"k"	"type"	"f"
"533"	"blanqueaba"	2
"534"	"blanqueaban"	1
"535"	"blanqueadas"	1
"536"	"blanquear"	2
"537"	"boca"	1
"538"	"bogotá"	4
"539"	"boleros"	1
"540"	"bombillas"	1
"541"	"bondadosa"	1
"542"	"bordada"	1
"543"	"bordado"	1
"544"	"bordando"	1
"545"	"borde"	1
"546"	"bordo"	1
"547"	"borradas"	1
"548"	"borrado"	1
"549"	"borrar"	1
"550"	"bosque"	2
"551"	"bosques"	12
"552"	"botadero"	1
"553"	"botar"	1
"554"	"botas"	1
"555"	"boté"	1
"556"	"botó"	2
"557"	"botones"	1
"558"	"bracitos"	1
"559"	"bramaban"	1
"560"	"braulio"	9
"561"	"brazo"	6
"562"	"brazos"	17
"563"	"breñas"	1
"564"	"breve"	1
"565"	"bridas"	1
"566"	"brillaba"	1
"567"	"brillaban"	1
"568"	"brillando"	1
"569"	"brillantes"	1
"570"	"brillantez"	1
"571"	"brioso"	1
"572"	"brisa"	2
"573"	"brisas"	1
"574"	"broquel"	1
"575"	"brotar"	2
"576"	"brumas"	1
"577"	"bruñidas"	1
"578"	"bruno"	6
"579"	"bruto"	1
"580"	"bucles"	1
"581"	"buen"	3
"582"	"buena"	3
"583"	"buenas"	3
"584"	"bueno"	3
"585"	"buenos"	1
"586"	"bujía"	1
"587"	"bulliciosas"	2
"588"	"busca"	1
"589"	"buscaba"	1
"590"	"buscado"	4
"591"	"buscando"	6
"592"	"buscarla"	2
"593"	"buscarme"	2
"594"	"butaca"	1
"595"	"butacas"	1
"596"	"byron"	1
"597"	"caballar"	1
"598"	"caballero"	2
"599"	"caballo"	16
"600"	"caballos"	2
"601"	"cabañas"	2
"602"	"cabecera"	4
"603"	"cabellera"	8
"604"	"cabellos"	12
"605"	"cabestro"	1
"606"	"cabeza"	18
"607"	"cabezas"	2
"608"	"cabiblanco"	1
"609"	"cabo"	1
"610"	"cacería"	4
"611"	"cacerías"	1
"612"	"cada"	6
"613"	"cadáver"	2
"614"	"cadillos"	1
"615"	"caemos"	1
"616"	"caer"	2
"617"	"caí"	1
"618"	"caía"	1
"619"	"caído"	1
"620"	"cajón"	1
"621"	"calcular"	1
"622"	"cali"	2
"623"	"caliente"	1
"624"	"callaban"	1
"625"	"callada"	1
"626"	"callado"	1
"627"	"calles"	1
"628"	"calmar"	1
"629"	"calor"	1
"630"	"calzados"	1
"631"	"calzón"	1
"632"	"cama"	1
"633"	"cambien"	1
"634"	"camino"	6
"635"	"camisa"	2
"636"	"camisas"	1
"637"	"campanillas"	2
"638"	"campeaba"	1
"639"	"campesinos"	1
"640"	"campo"	1
"641"	"cana"	1
"642"	"caña"	3
"643"	"cañas"	1
"644"	"cañaverales"	1
"645"	"cansancio"	1
"646"	"cantaban"	2
"647"	"cantadas"	1
"648"	"cantares"	1
"649"	"canteras"	1
"650"	"canto"	5
"651"	"cantores"	1
"652"	"cantos"	1
"653"	"capaz"	1
"654"	"capilla"	1
"655"	"capital"	1
"656"	"capitán"	3
"657"	"capítulo"	1
"658"	"capricho"	1
"659"	"cara"	1
"660"	"carácter"	3
"661"	"carcomidas"	1
"662"	"carey"	1
"663"	"cargo"	2
"664"	"caricia"	2
"665"	"caricias"	5
"666"	"cariño"	2
"667"	"cariñosa"	3
"668"	"cariñoso"	3
"669"	"cariñosos"	1
"670"	"carlos"	2
"671"	"caro"	1
"672"	"caros"	1
"673"	"carrera"	3
"674"	"carro"	1
"675"	"carta"	3
"676"	"cartas"	4
"677"	"casa"	28
"678"	"casarías"	1
"679"	"casaron"	1
"680"	"casarse"	1
"681"	"cascada"	1
"682"	"cascadas"	1
"683"	"cascos"	2
"684"	"casi"	21
"685"	"casita"	3
"686"	"caso"	2
"687"	"casos"	1
"688"	"castaño"	3
"689"	"castellanos"	1
"690"	"castillo"	1
"691"	"castísima"	1
"692"	"castísimo"	1
"693"	"castrueras"	1
"694"	"casualmente"	1
"695"	"católica"	1
"696"	"católico"	2
"697"	"catre"	1
"698"	"cauca"	3
"699"	"causa"	4
"700"	"causaba"	2
"701"	"causaron"	1
"702"	"cayó"	2
"703"	"caza"	1
"704"	"cazadores"	1
"705"	"cazan"	1
"706"	"cazas"	1
"707"	"cebaderos"	1
"708"	"ceder"	1
"709"	"cedro"	1
"710"	"ceibas"	2
"711"	"cejas"	1
"712"	"celestial"	1
"713"	"celosa"	1
"714"	"celosía"	1
"715"	"celoso"	1
"716"	"cementerio"	2
"717"	"cena"	2
"718"	"ceniciento"	1
"719"	"cenizas"	1
"720"	"ceño"	1
"721"	"central"	1
"722"	"centros"	1
"723"	"cerca"	13
"724"	"cercado"	1
"725"	"cercanas"	1
"726"	"cercanos"	1
"727"	"cercas"	1
"728"	"cerciorarse"	1
"729"	"cerebro"	1
"730"	"ceremonia"	2
"731"	"cernieran"	1
"732"	"cerrada"	1
"733"	"cerrados"	1
"734"	"cerré"	1
"735"	"certera"	1
"736"	"cesar"	1
"737"	"césped"	1
"738"	"chactas"	2
"739"	"chateaubriand"	1
"740"	"chilacoas"	1
"741"	"chiminangos"	1
"742"	"chispeaban"	1
"743"	"chispearon"	1
"744"	"choque"	1
"745"	"cielo"	9
"746"	"cierta"	1
"747"	"cierto"	6
"748"	"ciervos"	1
"749"	"cierzo"	1
"750"	"cigarro"	1
"751"	"cimbrador"	1
"752"	"cinchas"	1
"753"	"cinco"	2
"754"	"cintas"	2
"755"	"cintura"	7
"756"	"circundaba"	1
"757"	"cirios"	5
"758"	"ciudad"	3
"759"	"claramente"	2
"760"	"claridad"	2
"761"	"claro"	1
"762"	"clase"	2
"763"	"clavel"	2
"764"	"claveles"	1
"765"	"cobarde"	2
"766"	"cocina"	1
"767"	"codos"	2
"768"	"cofre"	2
"769"	"cofrecito"	1
"770"	"cogí"	1
"771"	"cogido"	1
"772"	"cogiendo"	1
"773"	"cola"	1
"774"	"colaciones"	1
"775"	"colegio"	2
"776"	"colgaban"	1
"777"	"colgada"	1
"778"	"colgantes"	1
"779"	"colgarla"	1
"780"	"colina"	1
"781"	"colinas"	3
"782"	"colocaba"	1
"783"	"colocado"	2
"784"	"colocar"	2
"785"	"colocarme"	1
"786"	"colocó"	1
"787"	"coloquéme"	1
"788"	"color"	13
"789"	"colores"	1
"790"	"columnas"	2
"791"	"columpiaba"	1
"792"	"columpiaban"	1
"793"	"combinación"	1
"794"	"combinados"	1
"795"	"comedor"	5
"796"	"como"	84
"797"	"cómo"	9
"798"	"cómoda"	1
"799"	"cómodamente"	1
"800"	"cómodos"	1
"801"	"compadecer"	1
"802"	"compadecía"	1
"803"	"compaginé"	1
"804"	"compañera"	4
"805"	"compañero"	1
"806"	"compañeros"	1
"807"	"comparados"	1
"808"	"complacerlo"	1
"809"	"complacía"	2
"810"	"complacida"	1
"811"	"completa"	1
"812"	"completaban"	1
"813"	"completamente"	1
"814"	"completamos"	1
"815"	"comprada"	1
"816"	"compraste"	1
"817"	"comprender"	4
"818"	"comprenderlo"	1
"819"	"comprendiendo"	2
"820"	"comprendió"	1
"821"	"comprensión"	1
"822"	"con"	140
"823"	"concebido"	1
"824"	"concedemos"	1
"825"	"conciliar"	1
"826"	"concluida"	2
"827"	"concluir"	1
"828"	"concluyendo"	1
"829"	"concluyésemos"	1
"830"	"condición"	3
"831"	"condiscípulos"	1
"832"	"conducía"	2
"833"	"conducir"	1
"834"	"conducta"	4
"835"	"condujeron"	1
"836"	"condujo"	2
"837"	"conferencia"	1
"838"	"conferencias"	1
"839"	"confesados"	1
"840"	"confesar"	1
"841"	"confesárselo"	1
"842"	"confidencial"	3
"843"	"confidencias"	4
"844"	"confidente"	1
"845"	"confín"	1
"846"	"conforme"	1
"847"	"conformidad"	1
"848"	"confuso"	1
"849"	"conmigo"	6
"850"	"conmover"	1
"851"	"conmovía"	1
"852"	"conmovida"	1
"853"	"conmovidas"	1
"854"	"conmovido"	3
"855"	"conocía"	1
"856"	"conocida"	2
"857"	"conocido"	2
"858"	"conocidos"	1
"859"	"conociendo"	3
"860"	"conocimientos"	2
"861"	"conque"	4
"862"	"conseguían"	1
"863"	"consejos"	1
"864"	"conservaba"	1
"865"	"conservar"	1
"866"	"consideración"	1
"867"	"consideréme"	1
"868"	"consiguió"	1
"869"	"consintiéramos"	1
"870"	"consolas"	1
