"avellaneda_sab_cuba" "bazan_various_spain" "carrasquilla_frutosDeMiTierra_colombia" "diaz_manuela_colombia" "galdos_trafalgar_spain" "hernandez_martinFierro_argentina" "isaacs_maria_colombia" "lizardi_periquilloFull_mexico" "marmol_amalia_argentina" "mitre_soledad_bolivia" "palacios_elAlferezReal_colombia" "samper_dolores_colombia"
"ojos" 0.238907849829352 0.136002783312775 0.0743792195903421 0.0521889715214271 0.0585594378293968 0.0582104446169198 0.206220042358711 0.0312351261304141 0.135862510600737 0.142389292325217 0.0855555689445335 0.0771049655597821
"otro" 0.087220326128176 0.0948856627763545 0.110138459778007 0.0806556832603874 0.074175287917236 0.188490963521455 0.050161631925092 0.113041408852927 0.110334204468752 0.123404053348522 0.103630689144083 0.0616839724478256
"noche" 0.115661736822146 0.0632571085175697 0.0586451539077698 0.075911231303894 0.0780792504391958 0.119192815167979 0.183925983725337 0.0639576392194193 0.127208847505149 0.123404053348522 0.125320833383542 0.102806620746376
"esto" 0.0303375047402351 0.0442799759622988 0.0972651333104474 0.117425185923211 0.146398594573492 0.0997893336290054 0.0334410879500613 0.202284626368396 0.0925941951227955 0.0569557169300869 0.103630689144083 0.12850827593297
"vez" 0.12135001896094 0.091722807350476 0.10441698134798 0.0747251183147707 0.0800312317001757 0.152455926377647 0.111470293166871 0.0818062827225131 0.0982190761349279 0.223076557976174 0.0951956330509598 0.164490593194202
"vida" 0.145999241562382 0.126514217035139 0.0600755235152763 0.0545611974996738 0.0936951005270349 0.108105111431423 0.0278675732917178 0.12940266539743 0.121583966493016 0.180359770278608 0.0530203525853447 0.179911586306158
"dios" 0.119453924914676 0.0411171205364203 0.11729030781554 0.0593056494561672 0.132734725746633 0.157999778245925 0.0390146026084049 0.105604474059971 0.101247858218384 0.189852389766956 0.0915806090110499 0.0822452965971009
"aquel" 0.24649222601441 0.101211373628111 0.0286073921501316 0.0284667117389603 0.203006051141909 0.23006985253354 0.144911381116932 0.0758567348881485 0.0887000467297807 0.151881911813565 0.0265101762926723 0.0925259586717385
"donde" 0.0549867273416761 0.161305626719803 0.0829614372353816 0.113866846955841 0.111262931875854 0.135824370772813 0.200646527700368 0.0699071870537839 0.0943249277419132 0.0617020266742608 0.0843505609312302 0.0411226482985504
"mano" 0.128934395145999 0.101211373628111 0.0600755235152763 0.0854001352168808 0.0527034940464572 0.0554385186827808 0.100323263850184 0.0550333174678724 0.134564461136399 0.099672504627652 0.0698904647715907 0.0925259586717385
"eduardo" 0 0 0 0 0 0 0 0 0.250523546617283 0.669229673928521 0 0
